compound_name,chembl_id,found
Propafenone hydrochloride,CHEMBL1201063,True
Antimycin A,CHEMBL211501,True
Deguelin,CHEMBL393417,True
Ethopropazine Hydrochloride,CHEMBL1200970,True
Licochalcone A,,False
Phenelzine sulfate,CHEMBL1200895,True
Pterostilbene,CHEMBL83527,True
Ziprasidone hydrochloride monohydrate,,False
Milnacipran Hydrochloride,CHEMBL4297064,True
O6-benzylguanine,,False
R(+)-SCH-23390 hydrochloride,,False
Sulfacetamide,CHEMBL455,True
BEDAQUILINE FUMARATE,CHEMBL2105700,True
HYDROXYAMPHETAMINE HYDROBROMIDE,CHEMBL1200705,True
MAFENIDE ACETATE,CHEMBL1201161,True
AMINOLEVULINIC ACID HYDROCHLORIDE,CHEMBL1200582,True
AZITHROMYCIN,CHEMBL529,True
ABACAVIR,CHEMBL1380,True
BRETYLIUM,CHEMBL1199080,True
FOSPROPOFOL,CHEMBL1201766,True
ATOVAQUONE,CHEMBL1450,True
ENCORAFENIB,CHEMBL3301612,True
TENIPOSIDE,CHEMBL452231,True
LUMATEPERONE TOSYLATE,CHEMBL3233142,True
PARGYLINE,CHEMBL673,True
DICLOFENAC EPOLAMINE,CHEMBL1201180,True
CLORAZEPATE DIPOTASSIUM,CHEMBL2096631,True
ESTRADIOL ACETATE,CHEMBL1200430,True
ZIMELDINE HYDROCHLORIDE,CHEMBL2355333,True
CILOSTAZOL,CHEMBL799,True
LANDIOLOL,CHEMBL1742466,True
RISEDRONIC ACID,CHEMBL923,True
METHYLNALTREXONE,CHEMBL1186579,True
PERHEXILINE,CHEMBL75880,True
INDECAINIDE HYDROCHLORIDE,CHEMBL1200341,True
DARIFENACIN,CHEMBL1346,True
OZENOXACIN,CHEMBL3990047,True
HYDROCORTISONE BUTYRATE,CHEMBL1683,True
TRANYLCYPROMINE SULFATE,CHEMBL3989698,True
THENALIDINE,CHEMBL2105458,True
DEURUXOLITINIB PHOSPHATE,CHEMBL4594382,True
ORPHENADRINE CITRATE,CHEMBL1200395,True
CICLESONIDE,CHEMBL2040682,True
CENOBAMATE,CHEMBL3989949,True
LACTIC ACID,CHEMBL1200559,True
ETRETINATE,CHEMBL464,True
DIETHYLCARBAMAZINE CITRATE,CHEMBL937,True
TYROPANOIC ACID,CHEMBL1201261,True
VENETOCLAX,CHEMBL3137309,True
BORTEZOMIB D-MANNITOL,CHEMBL5315122,True
NAFTOPIDIL,CHEMBL142635,True
CITALOPRAM HYDROBROMIDE,CHEMBL1200781,True
BITHIONOLATE SODIUM,CHEMBL1447476,True
"3,3',4',5-TETRACHLOROSALICYLANILIDE",CHEMBL291338,True
PROPARACAINE,CHEMBL1196,True
TRIPROLIDINE,CHEMBL855,True
TYROPANOATE SODIUM,CHEMBL1200899,True
MEQUINOL,CHEMBL544,True
